participant,session,task,video_file,duration_s,fps,resolution,frames_analyzed,cursor_detected_count,detection_rate_pct,total_clicks,total_scrolls,scroll_up_count,scroll_down_count,total_scroll_pixels,scroll_time_s,total_scenes,backtrack_scenes
Saber,1,1,Task1_Saber.mp4,218.03,30.0,1440x1080,3271,2633,80.5,32,366,278,88,24202,42.4,10,6
Saber,1,2,Task2_Saber.mp4,373.27,30.0,1440x1080,5599,4217,75.3,14,710,445,265,45908,72.4,26,16
Saber,1,3,Task3_Saber.mp4,520.2,30.0,1440x1080,7803,6022,77.2,19,607,477,130,38547,66.4,24,19
Dave,2,1,Task1_Dave.mp4,232.87,30.0,1440x1080,3493,1255,35.9,1,712,618,94,35642,65.2,5,4
Dave,2,2,Task2_Dave.mp4,994.43,30.0,1440x1080,14917,7651,51.3,13,1293,846,447,42636,119.34,1,0
Dave,2,3,Task3_Dave.mp4,357.63,30.0,1440x1080,5365,2750,51.3,6,386,268,118,18650,32.93,7,3
Mateo,3,1,Task1_Mateo.mp4,115.8,30.0,1440x1080,1737,760,43.8,2,33,23,10,2901,4.67,2,0
Mateo,3,2,Task2_Mateo.mp4,328.93,30.0,1440x1080,4934,4329,87.7,5,114,83,31,8987,16.8,1,0
Mateo,3,3,Task3_Mateo.mp4,78.73,30.0,1440x1080,1181,808,68.4,3,45,36,9,3510,6.87,1,0
Leon,4,1,Task1_Leon.mp4,161.2,30.0,1440x1080,2418,1177,48.7,3,313,226,87,18534,43.73,2,0
Leon,4,2,Task2_Leon.mp4,379.13,30.0,1440x1080,5687,3399,59.8,2,615,309,306,28830,60.94,1,0
Leon,4,3,Task3_Leon.mp4,261.7,30.0,1440x1080,3926,3289,83.8,0,386,288,98,22032,41.6,24,18
Shachaf,5,1,Task1_Shachaf.mp4,137.23,30.0,1440x1080,2059,1073,52.1,1,466,435,31,20882,49.87,1,0
Shachaf,5,2,Task2_Shachaf.mp4,505.97,30.0,1440x1080,7590,6570,86.6,4,874,647,227,28218,83.34,7,3
Shachaf,5,3,Task3_Shachaf.mp4,72.57,30.0,1440x1080,1089,778,71.4,1,206,194,12,6100,18.27,11,6
Andy,6,1,Task1_Andy.mp4,207.03,30.0,1440x1080,3106,2014,64.8,4,138,136,2,10375,17.33,1,0
Andy,6,2,Task2_Andy.mp4,204.7,30.0,1440x1080,3071,1672,54.4,3,88,72,16,4614,10.2,1,0
Andy,6,3,Task3_Andy.mp4,243.0,30.0,1440x1080,3645,2814,77.2,4,102,88,14,5661,13.27,1,0
